id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
18	-	393, 1319, 1370, 889, 1340, 849, 942, 1435, 787, 1015, 871, 1074, 1174, 1283, 370, 1352, 940, 1310, 948, 51, 698, 276, 556, 721, 1217, 352, 491, 1523, 1308, 1117, 
948	-	393, 369, 1319, 1370, 114, 1346, 1015, 871, 1283, 1310, 18, 51, 698, 276, 556, 721, 1217, 491, 1523, 752, 1308, 1117, 1431, 
51	-	393, 99, 872, 889, 1340, 1233, 26, 1240, 849, 942, 1433, 221, 1435, 1015, 871, 1283, 370, 790, 289, 1352, 940, 1310, 18, 948, 698, 276, 556, 1215, 721, 1217, 352, 537, 
698	-	393, 369, 1319, 1370, 114, 1346, 849, 942, 1015, 871, 1283, 1310, 18, 948, 51, 276, 556, 1215, 721, 1217, 352, 1339, 537, 491, 1308, 1117, 
276	-	99, 872, 889, 1340, 1233, 26, 1240, 849, 942, 1433, 221, 1435, 1015, 871, 370, 790, 532, 885, 289, 1352, 1391, 940, 1310, 18, 948, 51, 698, 556, 1215, 721, 1217, 352, 
556	-	393, 369, 1370, 1346, 889, 849, 942, 221, 1310, 18, 948, 51, 698, 276, 1215, 721, 1217, 352, 537, 1182, 
1215	-	872, 889, 482, 26, 1240, 849, 942, 1433, 221, 409, 210, 453, 1208, 1363, 338, 488, 1310, 51, 698, 276, 556, 721, 352, 537, 1182, 638, 
721	-	393, 369, 1319, 1370, 114, 1346, 849, 942, 1015, 871, 1283, 370, 1310, 18, 948, 51, 698, 276, 556, 1215, 1217, 352, 491, 1308, 1117, 1431, 
1217	-	393, 369, 1319, 1370, 114, 1346, 1015, 871, 1074, 1283, 1310, 18, 948, 51, 698, 276, 556, 721, 491, 893, 1523, 752, 1308, 590, 133, 1117, 1431, 
352	-	1370, 872, 889, 26, 1240, 849, 942, 221, 210, 453, 1208, 338, 1310, 18, 51, 698, 276, 556, 1215, 721, 537, 1182, 638, 
99	-	51, 276, 93, 370, 790, 885, 289, 1391, 940, 621, 260, 794, 755, 1193, 1264, 872, 889, 1340, 1233, 482, 26, 1240, 849, 942, 1433, 221, 409, 338, 
872	-	1310, 51, 276, 1215, 352, 567, 93, 790, 885, 1391, 755, 99, 889, 1340, 1233, 482, 26, 1240, 849, 942, 1433, 221, 409, 210, 1363, 338, 488, 
889	-	1310, 18, 51, 276, 556, 1215, 352, 93, 370, 790, 885, 289, 1391, 940, 99, 872, 1340, 1233, 482, 26, 1240, 849, 942, 1433, 221, 537, 409, 338, 871, 
1340	-	1310, 18, 51, 276, 370, 790, 532, 885, 289, 1352, 1391, 940, 755, 1264, 99, 872, 889, 1233, 482, 26, 1240, 849, 942, 1433, 221, 1435, 1015, 871, 
1233	-	1310, 51, 276, 370, 790, 532, 885, 289, 1352, 1391, 940, 755, 1264, 99, 872, 889, 1340, 482, 26, 1240, 849, 942, 1433, 221, 1435, 1015, 871, 
482	-	1215, 567, 93, 1189, 1162, 1434, 11, 529, 539, 1373, 1108, 219, 1361, 1391, 99, 872, 889, 1340, 1233, 26, 1240, 849, 942, 1433, 221, 357, 409, 210, 453, 1363, 338, 488, 
26	-	1310, 51, 276, 1215, 352, 93, 370, 790, 885, 1391, 755, 99, 872, 889, 1340, 1233, 482, 1240, 849, 942, 1433, 221, 409, 210, 1363, 338, 488, 
1240	-	1310, 51, 276, 1215, 352, 93, 370, 790, 885, 289, 1391, 940, 755, 99, 872, 889, 1340, 1233, 482, 26, 849, 942, 1433, 221, 409, 1363, 338, 488, 
849	-	1310, 18, 51, 698, 276, 556, 1215, 721, 352, 370, 790, 532, 885, 289, 1352, 1391, 940, 99, 872, 889, 1340, 1233, 482, 26, 1240, 942, 1433, 221, 1435, 1015, 871, 
942	-	1310, 18, 51, 698, 276, 556, 1215, 721, 352, 370, 885, 940, 99, 872, 889, 1340, 1233, 482, 26, 1240, 849, 1433, 221, 537, 1182, 409, 338, 871, 
1433	-	51, 276, 1215, 567, 884, 93, 1373, 885, 1391, 755, 99, 872, 889, 1340, 1233, 482, 26, 1240, 849, 942, 221, 409, 210, 1363, 338, 488, 
221	-	1310, 51, 276, 556, 1215, 352, 93, 11, 1373, 99, 872, 889, 1340, 1233, 482, 26, 1240, 849, 942, 1433, 537, 1182, 357, 409, 210, 453, 1363, 338, 488, 
567	-	872, 482, 1433, 234, 626, 895, 1524, 1242, 260, 755, 884, 93, 6, 409, 1363, 338, 488, 1189, 1162, 765, 553, 1434, 11, 529, 539, 256, 1373, 122, 219, 1361, 
884	-	1433, 899, 1176, 1005, 234, 626, 1292, 895, 1381, 1524, 260, 755, 1193, 382, 1071, 951, 567, 93, 6, 409, 1189, 765, 553, 539, 1373, 122, 219, 1361, 1391, 
93	-	99, 872, 889, 482, 26, 1240, 1433, 221, 755, 567, 884, 6, 357, 409, 210, 1363, 338, 488, 1189, 1162, 765, 1434, 11, 529, 539, 1373, 1108, 219, 1361, 1391, 
6	-	899, 1176, 1005, 234, 626, 1378, 637, 203, 1292, 895, 1381, 1524, 1242, 490, 771, 260, 1193, 1071, 567, 884, 93, 1189, 765, 553, 539, 256, 1373, 122, 219, 1361, 
899	-	884, 6, 1071, 951, 665, 901, 474, 1535, 1176, 1005, 234, 626, 1378, 637, 203, 1292, 895, 1381, 588, 1524, 490, 913, 260, 1193, 382, 
