id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
108	-	29, 57, 117, 129, 175, 176, 336, 433, 505, 565, 591, 600, 781, 896, 923, 1034, 1111, 1127, 1139, 1207, 1268, 1337, 1493, 1494, 1510, 1522, 
109	-	35, 92, 149, 153, 188, 202, 367, 401, 459, 471, 552, 563, 644, 656, 832, 866, 976, 986, 1002, 1210, 1280, 1296, 1305, 1345, 1358, 1376, 
110	-	22, 138, 151, 244, 251, 312, 314, 421, 436, 461, 517, 576, 595, 729, 754, 762, 814, 943, 969, 982, 1022, 1073, 1107, 1181, 1185, 1211, 1219, 1417, 1518, 
111	-	29, 160, 176, 249, 250, 320, 325, 427, 564, 565, 592, 613, 620, 627, 924, 938, 949, 1109, 1113, 1127, 1139, 1151, 1169, 1207, 1323, 1375, 1442, 1464, 1516, 
112	-	76, 131, 218, 329, 420, 465, 574, 654, 862, 879, 880, 891, 912, 932, 946, 954, 1078, 1114, 1157, 1216, 1238, 1385, 1401, 1430, 1438, 1480, 
113	-	46, 103, 174, 242, 296, 316, 369, 638, 746, 789, 811, 819, 865, 956, 995, 1121, 1304, 1331, 1339, 1344, 1358, 1370, 1386, 
114	-	84, 103, 174, 286, 296, 369, 393, 426, 523, 698, 721, 789, 819, 948, 1061, 1217, 1304, 1319, 1331, 1339, 1346, 1365, 1370, 
115	-	3, 32, 49, 54, 75, 173, 230, 233, 235, 309, 311, 323, 373, 599, 602, 623, 726, 826, 955, 963, 970, 988, 992, 1136, 1177, 1357, 1374, 1529, 
116	-	20, 139, 226, 348, 437, 493, 559, 581, 632, 730, 773, 807, 843, 876, 892, 931, 1052, 1120, 1216, 1250, 1342, 1389, 1474, 
117	-	57, 108, 129, 175, 336, 505, 508, 600, 684, 923, 1034, 1086, 1105, 1111, 1122, 1127, 1163, 1290, 1336, 1337, 1345, 1375, 1383, 1522, 
118	-	8, 141, 161, 335, 392, 442, 484, 520, 667, 738, 803, 817, 905, 929, 1031, 1033, 1158, 1186, 1226, 1248, 1286, 1293, 1303, 1447, 1462, 1465, 1517, 1530, 
119	-	60, 71, 91, 231, 294, 305, 343, 349, 362, 378, 389, 397, 402, 403, 538, 543, 547, 569, 645, 666, 768, 882, 886, 903, 978, 984, 1017, 1088, 1125, 1184, 1187, 1252, 1298, 1404, 1420, 1528, 
120	-	79, 85, 146, 373, 416, 518, 622, 692, 780, 828, 847, 848, 897, 928, 1055, 1081, 1098, 1106, 1272, 1297, 1313, 1388, 1405, 1412, 1446, 1456, 1492, 
